Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"RDP Thinbook 1430 Laptop (DOS, 2GB RAM, Intel Atom, Black, 14.1 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546452952_635_rdp_thinbook-1430.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,RDP,Intel Atom Quad Core Z8350,2GB,No,No,Intel Integrated HD Graphics 400,Windows 10,1366x768 pixels,42.00 x 30.00 x 9.00,1.36,8.5,"₹ 11,790"
,https://i.gadgets360cdn.com/products/laptops/large/1546454242_635_lenovo_ideapad-ln-320.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 7th Gen 7200U,12GB,1TB,No,Nvidia GeForce 940MX,Windows 10,1366x768 pixels,379.00 x 260.00 x 22.90,2.2,5.0,
"Asus X541NA-GO008 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454251_635_asus_x541na-go008.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 7th Gen,4GB,500GB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,381.00 x 251.00 x 27.20,2.0,3.5,"₹ 20,999"
"HP 14-BF120TU Laptop (Windows 10, 8GB RAM, 256GB HDD, Intel Core i5, Silk Gold, 14.0 Inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455895_635_hp_14-bf120tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 8th Gen 8250U,8GB,No,256GB,Intel Integrated UHD Graphics 620,Windows 10,1920x1080 pixels,324.00 x 227.60 x 19.90,1.54,10.0,"₹ 57,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546455752_635_asus_vivobook-x507ma-br064t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Dual Core N5000,4GB,1TB,No,AMD Radeon Integrated Graphics,Windows 10,1366x768 pixels,365.00 x 266.00 x 21.90,1.75,,
"Asus X541UA-GO1302D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454468_635_asus_x541ua-go1302d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3,4GB,1TB,No,Intel Integrated HD Graphics 520,DOS,1366x768 pixels,381.00 x 252.00 x 27.60,1.84,6.0,"₹ 26,500"
"HP 15Q-DS0004TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456628_635_hp_15q-ds0004tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 8th Gen 8250U,8GB,1TB,No,Nvidia,Windows 10,1920x1080 pixels,376.00 x 246.00 x 22.50,1.77,,"₹ 50,990"
"Asus X510UN-EJ461T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456799_635_asus_vivobook-15-x510un-ej461t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 8th Gen,8GB,1TB,No,Nvidia GeForce MX150,Windows 10,1920x1080 pixels,,,8.0,"₹ 64,990"
"Dell Inspiron N3558-W5661107TH Laptop (Linux, 2GB RAM, 500GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455519_635_dell_inspiron-n3558-w5661107th.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 5th Gen 5200U,2GB,500GB,No,Nvidia GeForce 920M,DOS,1366x768 pixels,380.00 x 260.30 x 21.70,,,"₹ 35,299"
,https://i.gadgets360cdn.com/products/laptops/large/1546454886_635_asus_rog-gl551.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 4th Gen 4720HQ,8GB,1TB,No,Nvidia GeForce GTX 950M,Windows 10,1920x1080 pixels,255.00 x 383.00 x 31.50,2.7,3.0,
"Dell Vostro 4405 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455535_635_dell_vostro-4405.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Celeron Dual Core 7th Gen,4GB,500GB,No,AMD Radeon M420,DOS,1366x768 pixels,51.00 x 44.00 x 16.00,2.3,5.0,"₹ 20,990"
"Dell Vostro 3546 Laptop (Linux, 4GB RAM, 500GB HDD, Intel Core i5, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525202056_635_vostro-3546.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i3 4th Gen 4005U,4GB,1TB,No,Intel Integrated HD Graphics 4400,Ubuntu,1366x768 pixels,381.40 x 267.50 x 25.60,2.38,,"₹ 26,899"
"HP I7559 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1546455482_635_hp_inspiron-i7559.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6700HQ,4GB,No,No,Nvidia GeForce GTX 960M,Windows 10 Home,,383.00 x 265.00 x 25.30,2.57,,"₹ 48,990"
"Acer Spin SP315-51 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454937_635_acer_spin-sp315-51.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 6th Gen 6006U,4GB,1TB,No,Intel Integrated HD Graphics 520,Windows 10,1366x768 pixels,381.50 x 250.90 x 22.50,2.15,9.0,"₹ 37,390"
"Dell Inspiron 5378 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 13.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546452931_635_dell_inspiron-5378.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 7th Gen 7200U,8GB,No,No,Intel Integrated HD Graphics 520,Windows 10 Home,1920x1080 pixels,,,,"₹ 46,999"
"Asus A555LF-XX233D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Matte White, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454391_635_asus_a555lf-xx233d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 5010U,4GB,1TB,No,Nvidia GeForce 930M,DOS,,382.00 x 256.00 x 25.80,2.3,3.5,"₹ 27,990"
"Dell Latitude 5480 Laptop (4GB RAM, 500GB HDD, Intel Core i3, Black, 14.0 Inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453450_635_dell_latitude-5480.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 7th Gen 7300U,8GB,128GB,No,Intel HD Graphics,Windows 10 Professional,1920x1080 pixels,333.00 x 229.00 x 22.00,1.6,8.0,"₹ 67,351"
,https://i.gadgets360cdn.com/products/laptops/large/1546453436_635_acer_aspire-e-e5-573g-76aa.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7 5th Gen 5500U,4GB,1TB,No,Nvidia GeForce 920M,Linux,,381.60 x 256.00 x 29.20,2.4,,
,https://i.gadgets360cdn.com/products/laptops/large/1546454408_635_dell_inspiron-5000-5767.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i7 7th Gen 7500U,8GB,2TB,No,AMD Radeon R7 M265,Windows 10,1920x1080 pixels,,,3.0,
"Acer Swift 5 SF514-52T-82WQ Laptop (Windows 10, 16GB RAM, 512GB HDD, Intel Core i7, Charcoal Blue, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453626_635_acer_swift-5-sf514-52t-82wq.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7 8th Gen 8550U,16GB,No,512GB,Intel Integrated UHD Graphics 620,Windows 10,1920x1080 pixels,329.00 x 228.00 x 14.90,0.9,8.0,"₹ 88,200"
"Asus A555LF-XX410T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i3, Dark Brown, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453082_635_asus_a555lf-xx410t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 5010U,8GB,1TB,No,Nvidia GeForce 930M,Windows 10,,382.00 x 256.00 x 25.80,2.3,3.5,"₹ 33,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546454379_635_asus_fx53vd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,8GB,128GB,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,383.00 x 255.00 x 21.00,2.5,4.5,
"Lenovo Yoga 370 Laptop (Windows 10, 4GB RAM, 128GB HDD, Intel Core i5, Black, 11.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454245_635_lenovo_yoga-370.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 7th Gen 7200U,8GB,No,512GB,Intel Integrated HD Graphics,Windows 10,,114.30 x 31.20 x 45.72,1.44,5.0,"₹ 137,201"
"Asus X541NA-QP2ST-CB Laptop (Windows 10, 4GB RAM, 256GB HDD, Intel Pentium, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456248_635_asus_x541na-qp2st-cb.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Dual Core 7th Gen,4GB,256GB,No,Intel Integrated HD Graphics,Windows 10,1366x768 pixels,381.00 x 251.00 x 27.20,2.0,3.5,"₹ 62,285"
"Asus X541UA-DM655T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454228_635_asus_vivobook-max-x541ua-dm655t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 7th Gen 7100U,4GB,1TB,No,Intel Integrated HD Graphics 620,Windows 10,1920x1080 pixels,381.00 x 252.00 x 27.60,1.9,4.5,"₹ 27,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546454680_635_asus_zenbook-x310uq.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 7th Gen 7200U,8GB,No,128GB,Nvidia GeForce 940MX,Windows 10,1920x1080 pixels,323.00 x 223.00 x 46.74,1.4,8.0,
"Dell Inspiron 15R 5559 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455520_635_dell_inspiron-15r-5559.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i7 6200U,8GB,1TB,No,AMD Radeon R5,Windows 10,,,2.4,7.0,"₹ 66,199"
"Dell Inspiron 15 3573 Laptop (Windows 10 Home, 4GB RAM, 500GB HDD, 3000 Pentium Quad Core, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546457017_635_dell_inspiron-3573.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Pentium Quad Core N3710,4GB,500GB,No,Intel Integrated Graphics,Windows 10 Home,1366x768 pixels,380.00 x 260.00 x 21.70,,,"₹ 22,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546454339_635_msi_gl62m-7rdx-1096.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen 7700HQ,16GB,500GB,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,,2.2,3.0,
"Asus Vivobook S15 S530UA-DB51-YL Laptop (Windows 10 Home, 8GB RAM, 256GB HDD, Intel Core i5, Silver & Yellow, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456244_635_asus_vivobook-s15-s530ua-db51-yl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 8250U,8GB,No,256GB,Nvidia GeForce MX150,Windows 10 Home,1920x1080 pixels,,,8.0,"₹ 111,921"
"MSI GL62-7RDX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455346_635_msi_gl62-7rdx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen,8GB,No,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,383.00 x 260.00 x 27.00,,2.5,"₹ 95,990"
"Asus ZenBook 14 Laptop (Windows 10 Home, 8GB RAM, 512GB HDD, AMD Ryzen 5 Quad Core, 3rd Gen, Utopia Blue Metal, 14.0 Inch)",https://i.gadgets360cdn.com/products/large/asus-zenbook-14-1199x800-1573558715.jpeg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,AMD Ryzen R5-3500U,8GB,,512GB,AMD Radeon Vega 8,Windows 10 Home,1080x1920 pixels,323.50 x 211.85 x 15.90,1.39,12.0,"₹ 56,990"
"MSI GL63-8RC-063IN Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454347_635_msi_gl63-8rc-063in.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 8th Gen 8750H,8GB,1TB,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,380.00 x 260.00 x 29.00,2.2,,"₹ 79,990"
,https://i.gadgets360cdn.com/products/laptops/large/1546456193_635_dell_inspiron-i5567-7292gry.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i7 6th Gen 6006U,16GB,1TB,No,Intel Integrated HD Graphics 520,Windows 10,1920x1080 pixels,390.00 x 259.00 x 23.30,2.36,,
"Asus UX430UQ-GV151T Laptop (Windows 10, 8GB RAM, 512GB HDD, Intel Core i7, Blue, 14 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454705_635_asus_ux430uq-gv151t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7500U,8GB,No,512GB,Nvidia GeForce 940MX,Windows 10 Home,1920x1080 pixels,324.00 x 225.00 x 15.90,1.25,9.0,"₹ 92,900"
,https://i.gadgets360cdn.com/products/laptops/large/1546454379_635_asus_fx53vd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7th Gen 7700HQ,8GB,128GB,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,383.00 x 255.00 x 21.00,2.5,4.5,
"MSI GL63-8RE-455IN Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455981_635_msi_gl63-8re-455in.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 8th Gen 8750H,16GB,No,No,Nvidia GeForce GTX 1060,Windows 10,1920x1080 pixels,380.00 x 260.00 x 29.00,2.2,,"₹ 84,990"
"MSI GL63-8RC-063IN Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454347_635_msi_gl63-8rc-063in.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 8th Gen 8750H,8GB,1TB,No,Nvidia GeForce GTX 1050,Windows 10,1920x1080 pixels,380.00 x 260.00 x 29.00,2.2,,"₹ 79,990"
"Asus NB X510UA-EJ927T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456247_635_asus_nb-x510ua-ej927t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 7th Gen 8130,4GB,1TB,No,Intel Integrated HD Graphics,Windows 10,1920x1080 pixels,381.40 x 251.50 x 27.60,,4.0,"₹ 42,990"
"Dell Inspiron 5555 Laptop (Windows 10, 4GB RAM, 500GB HDD, AMD Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546452945_635_dell_inspiron-5555.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,AMD APU Quad Core A10 6th Gen 8700P,8GB,No,No,AMD Radeon R6 M345DX,Windows 10 Home,1366x768 pixels,380.00 x 260.40 x 23.75,2.3,,"₹ 38,000"
,https://i.gadgets360cdn.com/products/laptops/large/1546456119_635_asus_vivobook-x510un-ej327t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 8th Gen 8250U,8GB,512GB,No,Nvidia GeForce MX150,Windows 10,1920x1080 pixels,157.48 x 296.00 x 50.80,2.77,8.0,
,https://i.gadgets360cdn.com/products/laptops/large/1546454766_635_asus_zenbook-ux510uw-rb71.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 6th Gen 6500U,16GB,1TB,No,Nvidia GeForce GTX 960M,Windows 10,1920x1080 pixels,295.00 x 51.80 x 6.60,2.0,,
"HP 15Q-BU015TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Pentium, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454592_635_hp_15q-bu015tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Pentium Dual Core 6th Gen,4GB,1TB,No,Intel Integrated HD Graphics 405,Windows 10,1366x768 pixels,,,4.0,"₹ 23,490"
"HP 15Q-DS0016TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i3, Sparkling Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456627_635_hp_15q-ds0016tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 7th Gen 7020U,4GB,1TB,No,Intel Integrated HD Graphics 620,DOS,1366x768 pixels,376.00 x 246.00 x 22.50,1.77,,"₹ 25,997"
,https://i.gadgets360cdn.com/products/laptops/large/1546453471_635_dell_inspiron-i5567-3655gry.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Dell,Intel Core i5 6th Gen 6006U,8GB,1TB,No,Intel Integrated HD Graphics 520,Windows 10,1920x1080 pixels,390.00 x 259.00 x 23.30,2.36,,
"Asus X541NA-GO121 Laptop (4GB RAM, 1000GB HDD, Intel Pentium, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454785_635_asus_x541na-go121.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Dual Core 7th Gen,4GB,1TB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,381.00 x 251.00 x 27.20,2.0,3.5,"₹ 23,000"
,https://i.gadgets360cdn.com/products/laptops/large/1546454266_635_acer_aspire-f-f15-f5-572-74dz.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i7,8GB,1TB,No,Nvidia GeForce 920M,Windows 10 Home,1366x768 pixels,381.60 x 256.00 x 29.20,2.4,,
"Lenovo Ideapad 320S-14IKB Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Snow White, 14.0 Inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456524_635_lenovo_ideapad-320s-14ikb.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce 920MX,Windows 10,1920x1080 pixels,327.00 x 236.00 x 19.30,1.69,12.0,"₹ 51,490"
"Asus A555LF-XX410T Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i3, Dark Brown, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453082_635_asus_a555lf-xx410t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 5010U,8GB,1TB,No,Nvidia GeForce 930M,Windows 10,,382.00 x 256.00 x 25.80,2.3,3.5,"₹ 33,990"
"HP Pavilion 11-S002TU Laptop (Windows 10, 2GB RAM, 500GB HDD, Intel Celeron, Twinkle Black, 11.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453615_635_hp_pavilion-11-s002tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Celeron Dual Core N3050,2GB,500GB,No,Intel Integrated HD Graphics,Windows 10 Home,1366x768 pixels,299.97 x 205.74 x 21.08,1.23,,"₹ 21,312"
"HP 15-BS614TU Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Celeron, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453547_635_hp_15-bs614tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Celeron Dual Core N3060,4GB,No,No,,DOS,1366x768 pixels,380.00 x 253.70 x 23.80,2.1,,"₹ 18,990"
"Asus Rog GL502VM-DS74 Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454880_635_asus_rog-gl502vm-ds74.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 7700HQ,16GB,1TB,No,Nvidia GeForce GTX 1060,Windows 10,1920x1080 pixels,267.00 x 39.10 x 23.00,2.22,,"₹ 683,523"
"HP 15-BG008AU Laptop (Windows 10, 4GB RAM, 500GB HDD, AMD Jack Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546453025_635_hp_bg-15-bg008au.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,AMD APU Quad Core E2,4GB,500GB,No,,Windows 10 Home,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,3.0,"₹ 20,990"
"Lenovo Yoga 2 Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525202379_635_yoga-2-13.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 4th Gen 4210U,4GB,500GB,No,Intel Integrated HD Graphics 4400,Windows 8.1,1920x1080 pixels,330.00 x 221.20 x 17.30,1.66,8.0,"₹ 25,179"
"Asus X540SA-XX384D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Pentium, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546452898_635_asus_x540sa-xx384d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Dual Core N3710,4GB,500GB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,381.00 x 254.00 x 25.20,1.8,,"₹ 21,500"
,https://i.gadgets360cdn.com/products/laptops/large/1546453606_635_hp_pavilion-15-15-cc102tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 8th Gen 8250U,8GB,No,No,Nvidia GeForce 940MX,Windows 10,1366x768 pixels,378.00 x 252.20 x 22.60,2.12,,
"Asus X541NA-GO008 Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454251_635_asus_x541na-go008.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 7th Gen,4GB,500GB,No,Intel Integrated HD Graphics,DOS,1366x768 pixels,381.00 x 251.00 x 27.20,2.0,3.5,"₹ 20,999"
"MSI GL72M-7RDX Laptop (Windows 10 Home, 8GB RAM, 128GB HDD, Intel Core i7, Red & Black, 17.3 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454281_635_msi_gl72m-7rdx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,MSI,Intel Core i7 7th Gen 7700HQ,16GB,500GB,No,Nvidia GeForce GTX 1050,Windows 10 Home,1920x1080 pixels,287.00 x 419.00 x 29.00,3.4,,"₹ 169,999"
,https://i.gadgets360cdn.com/products/laptops/large/1546454650_635_acer_aspire-e-es1-572-38kv.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i3 6006U,4GB,1TB,No,Intel Integrated HD Graphics 520,Linux,1366x768 pixels,381.80 x 258.00 x 24.60,2.4,6.5,
,https://i.gadgets360cdn.com/products/laptops/large/1546453038_635_asus_vivobook-max-x-x541ua-go840d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i3 6th Gen 6100U,4GB,No,No,Intel Integrated HD Graphics 520,DOS,1366x768 pixels,276.00 x 381.40 x 251.50,2.0,,
"HP 15-DA0434TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456697_635_hp_15-da0434tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 7th Gen 7100U,4GB,1TB,No,Nvidia,Windows 10,1920x1080 pixels,376.00 x 246.12 x 22.60,2.18,,"₹ 26,990"
"Asus X540MA-GQ098T Laptop (Windows 10, 4GB RAM, 1000 GB HDD, Pentium Quad Core, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546456023_635_asus_x540ma-gq098t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Pentium Quad Core N5000,4GB,1TB,No,,Windows 10 Home,1366x768 pixels,381.00 x 252.00 x 27.20,2.0,,"₹ 21,990"
"Asus X542BA-GQ006T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Dual Core, Grey, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454359_635_asus_x542ba-gq006t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,,4GB,1TB,No,AMD Radeon R4,Windows 10,1366x768 pixels,381.00 x 252.00 x 27.20,2.0,,"₹ 21,490"
"Asus Vivobook S510UN-BQ132T Laptop (Windows 10, 16GB RAM, 1000GB HDD, Intel Core i7, Gold Metal, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546454623_635_asus_vivobook-s510un-bq132t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i7 8250U,16GB,No,No,Nvidia GeForce MX150,Windows 10,1920x1080 pixels,,,8.0,"₹ 92,620"
,https://i.gadgets360cdn.com/products/laptops/large/1546456852_635_hp_elitebook-1040-g3.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6500U,16GB,No,256GB,Intel Integrated HD Graphics 520,Windows 10,1366x768 pixels,310.00 x 218.90 x 18.90,1.26,,
,https://i.gadgets360cdn.com/products/laptops/large/1525204422_635_ideapad-100-14ibd.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i3 5th Gen 5005U,4GB,500GB,No,Intel Integrated HD Graphics 5500,Windows 10 Home,1366x768 pixels,340.00 x 245.00 x 22.90,2.1,4.0,
"Asus Vivobook Max X541NA Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Celeron, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1546455747_635_asus_vivobook-max-x541na.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 7th Gen N3350,4GB,500GB,No,Intel Integrated HD Graphics,Windows 10,1366x768 pixels,381.00 x 251.00 x 27.20,2.0,3.5,"₹ 21,885"
