Brand,Model,Image,Price,RAM,Size,SSD,Colours,Operating system,Hard disk,Model Number,Processor,Graphic card,Dedicated Graphics,Finger Print Sensor,Resolution,Wi-Fi standards supported,Weight(kg),Dimensions(mm),Series,Touch Screen,Base Clock Speed,Graphics Processor,Product,Dedicated Graphics,HDMI Port,Battery life,Dedicated Graphic Memory Type,Expandable RAM up to (GB)
HP,15-BS663TU,https://i.gadgets360cdn.com/products/laptops/large/1546456048_635_hp_15-bs663tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 28,990",4GB,15.60-inch,No,Silver,Windows 10,1TB,15-BS663TU,Intel Core i3 7th Gen 7020U,Intel HD Graphics 620,No,No,1920x1080 pixels,802.11 b/g/n,2.19,254.00 x 38.00 x 24.00,,,2.3 GHz,Intel HD Graphics 620,"HP 15-BS663TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Silver, 15.6 inch)",No,Standard,4,,
Lenovo,IdeaPad 530S,https://i.gadgets360cdn.com/products/laptops/large/1546455910_635_lenovo_ideapad-530s.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 64,990",8GB,14.00-inch,No,Platinum Grey,Windows 10,256GB,530S,Intel Core i5,,,No,1920x1080 pixels,802.11 ac,,,IdeaPad,,3.4 GHz,,"Lenovo Ideapad 530S Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Liquid Blue, 14.0 Inch)",,Standard,8,,
Apple,MacBook MNYF2HN/A,https://i.gadgets360cdn.com/products/laptops/large/1525207614_635_macbook-mnyf2hn-a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 104,800",8GB,12.00-inch,256GB,Space Grey,macOS,No,MNYF2HN/A,Intel Core m3 7th Gen,Intel Integrated HD Graphics 615,No,,2304x1440 pixels,802.11 ac,0.92,280.50 x 196.50 x 13.10,MacBook,No,1.2 GHz,Intel Integrated HD Graphics 615,"Apple Macbook MNYF2HN/A Laptop (Mac, 8GB RAM, 256GB HDD, Intel Core m3, Space Grey, 12.0 Inch)",No,,10,,
Apple,MacBook MNYG2HN/A,https://i.gadgets360cdn.com/products/laptops/large/1525207615_635_macbook-mnyg2hn-a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 128,700",8GB,12.00-inch,512GB,Space Grey,macOS,No,MNYG2HN/A,Intel Core i5 7th Gen,Intel Integrated HD Graphics 615,No,,2304x1440 pixels,802.11 ac,0.92,280.50 x 196.50 x 13.10,MacBook,No,1.3 GHz,Intel Integrated HD Graphics 615,"Apple Macbook MNYG2HN/A Laptop (Mac, 8GB RAM, 512GB HDD, Intel Core i5, Space Grey, 12.0 Inch)",No,,10,,
Asus,A555LF-XX192TY16,https://i.gadgets360cdn.com/products/laptops/large/1546454506_635_asus_a555lf-xx192ty16.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,No,Silver,Windows 10,1TB,A555LF-XX192TY16,Intel Core i5 5010U,Nvidia GeForce 930M,,No,,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,2.1 GHz,Nvidia GeForce 930M,,,,3.5,DDR3,
Apple,MacBook MNYJ2HN/A,https://i.gadgets360cdn.com/products/laptops/large/1525207617_635_macbook-mnyj2hn-a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 128,700",8GB,12.00-inch,512GB,Silver,macOS,No,MNYJ2HN/A,Intel Core i5 7th Gen,Intel Integrated HD Graphics 615,No,,2304x1440 pixels,802.11 ac,0.92,280.50 x 196.50 x 13.10,MacBook,No,1.3 GHz,Intel Integrated HD Graphics 615,"Apple Macbook MNYJ2HN/A Laptop (Mac, 8GB RAM, 512GB HDD, Intel Core i5, Silver, 12.0 Inch)",No,,10,,
Asus,VivoBook Flip TP410UA-EC509T,https://i.gadgets360cdn.com/products/laptops/large/1546454346_635_asus_vivobook-flip-tp410ua-ec509t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 56,990",4GB,14.00-inch,No,Grey,Windows 10,No,Flip TP410UA-EC509T,Intel Core i3 7th Gen,Intel Integrated HD Graphics,No,No,1920x1080 pixels,802.11 b/g/n,,,VivoBook,Yes,2.4 GHz,Intel Integrated HD Graphics,"Asus Vivobook Flip TP410UA-EC509T Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Grey, 14.1 inch)",No,,6,,
Lenovo,IdeaPad Ideapad,https://i.gadgets360cdn.com/products/laptops/large/1546456002_635_lenovo_ideapad-ideapad.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 43,623",12GB,15.60-inch,No,Platinum Grey,Windows 10,2TB,Ideapad,Intel Core i5 8th Gen,,,No,1920x1080 pixels,802.11 a/b/g/n/ac,1.86,51.10 x 31.90 x 6.80,IdeaPad,,2.2 GHz,,"Lenovo Ideapad Laptop (Windows 10, 2GB RAM, 64GB HDD, Intel Celeron, Silver, 14.0 Inch)",,Standard,,DDR4,
Asus,ZenBook 13,https://i.gadgets360cdn.com/products/laptops/large/1546456699_635_asus_zenbook-13.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,12GB,13.30-inch,512GB,Smoky Brown,Windows 10,No,,Intel Core i5 8th Gen 8250U,Intel Integrated UHD Graphics 620,No,No,1920x1080 pixels,802.11 ac,0.9,310.00 x 216.00 x 13.90,ZenBook 13,No,1.6 GHz,Intel Integrated UHD Graphics 620,,No,,,,
Asus,ZenBook 3 UX390UA-GS045T,https://i.gadgets360cdn.com/products/laptops/large/1525207686_635_zenbook-3-ux390ua-gs045t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 99,990",8GB,12.50-inch,No,Gold,Windows 10 Home,,UX390UA-GS045T,Intel Core i5 7th Gen 7200U,Intel Integrated HD Graphics 620,No,Yes,1920x1080 pixels,802.11 ac,0.91,296.00 x 191.20 x 11.90,ZenBook 3,No,2.5 GHz,Intel Integrated HD Graphics 620,"Asus Zenbook 3 UX390UA-GS045T Laptop (Windows 10, 8GB RAM, 512GB HDD, Intel Core i5, Gold, 12.5 inch)",No,,9,,
Asus,ZenBook UX330UA-AH55,https://i.gadgets360cdn.com/products/laptops/large/1546454644_635_asus_zenbook-ux330ua-ah55.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,13.30-inch,256GB,Grey,Windows 10,No,UX330UA-AH55,Intel Core i5 7th Gen 7200U,Intel Integrated HD Graphics,No,No,3200x1800 pixels,802.11 ac,1.2,323.00 x 222.30 x 13.50,ZenBook,No,,Intel Integrated HD Graphics,,No,Standard,12,,
HP,15Q-BU101TU,https://i.gadgets360cdn.com/products/laptops/large/1546456517_635_hp_15q-bu101tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 49,257",8GB,15.60-inch,No,Black,Windows 10,1TB,15Q-BU101TU,Intel Core i5 8th Gen 8250U,Intel HD Graphics 620,No,No,1366x768 pixels,802.11 b/g/n,1.95,380.00 x 254.00 x 24.00,,No,1.6 GHz,Intel HD Graphics 620,"HP 15Q-BU101TU Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",No,Standard,4,DDR4,
HP,Envy 13-AD173CL,https://i.gadgets360cdn.com/products/laptops/large/1546454337_635_hp_envy-13-ad173cl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,16GB,13.30-inch,512GB,Silver,Windows 10,No,13-AD173CL,Intel Core i7 8th Gen 8250U,Intel Integrated UHD Graphics 620,No,No,1920x1080 pixels,802.11 ac,1.21,307.00 x 212.00 x 15.00,Envy,No,1.6 GHz,Intel Integrated UHD Graphics 620,,No,,,,
HP,17-F004DX,https://i.gadgets360cdn.com/products/laptops/large/1546456474_635_hp_17-f004dx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,6GB,17.30-inch,No,Silver,Windows 8,750GB,17-F004DX,AMD APU Quad Core A10 5745M,,,No,1600x900 pixels,802.11 b/g/n,2.825,27.74 x 165.10 x 10.98,,,2.1 GHz,,,,Standard,,DDR3L,
Asus,ZenBook UX330UA-AH55,https://i.gadgets360cdn.com/products/laptops/large/1546454644_635_asus_zenbook-ux330ua-ah55.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,13.30-inch,256GB,Grey,Windows 10,No,UX330UA-AH55,Intel Core i5 7th Gen 7200U,Intel Integrated HD Graphics,No,No,3200x1800 pixels,802.11 ac,1.2,323.00 x 222.30 x 13.50,ZenBook,No,,Intel Integrated HD Graphics,,No,Standard,12,,
Asus,X507MA-BR059T,https://i.gadgets360cdn.com/products/laptops/large/1546455975_635_asus_x507ma-br059t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Grey,Windows 10,1TB,X507MA-BR059T,Intel Pentium Dual Core N5000,,,No,1366x768 pixels,802.11 b/g/n,1.75,365.00 x 266.00 x 21.90,,No,1.1 GHz,,,,,,,8GB
Asus,X541NA-GO017T,https://i.gadgets360cdn.com/products/laptops/large/1546454426_635_asus_x541na-go017t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 27,699",4GB,15.60-inch,No,Grey,Windows 10,500GB,X541NA-GO017T,Intel Celeron Dual Core 7th Gen,,,No,1920x1080 pixels,802.11 b/g/n,2.1,,,No,1.1 GHz,,"Asus X541NA-GO017T Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Celeron, Grey, 15.6 inch)",,Standard,,,8GB
Dell,Inspiron i3573,https://i.gadgets360cdn.com/products/laptops/large/1546456405_635_dell_inspiron-i3573.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,No,Black,Windows 10,2TB,i3573,Intel Core i3 N3710,Intel Integrated Graphics,No,No,1366x768 pixels,802.11 b/g/n,,380.00 x 260.00 x 21.70,Inspiron,No,1.6 GHz,Intel Integrated Graphics,,No,,,,
Asus,ZenBook 3 UX490UA-XS74-BL,https://i.gadgets360cdn.com/products/laptops/large/1546454683_635_asus_zenbook-3-ux490ua-xs74-bl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 511,536",16GB,14.00-inch,512GB,Blue,Windows 10 Professional,No,UX490UA-XS74-BL,Intel Core i7 7th Gen 7500U,Integrated Graphics Processor,,Yes,,802.11 ac,1.09,213.00 x 33.00 x 33.02,ZenBook 3,,2.7 GHz,Integrated Graphics Processor,"Asus UX490UA-XS74-BL Laptop (Windows 10 Pro, 16GB RAM, 512GB HDD, Intel Core i7, Blue, 14 inch)",,,9,DDR3,
Asus,ROG G751JL-T3024P,https://i.gadgets360cdn.com/products/laptops/large/1546456411_635_asus_rog-g751jl-t3024p.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,24GB,17.30-inch,No,Black,Windows 8.1,1TB,G751JL-T3024P,Intel Core i7 4th Gen 4720HQ,Nvidia GeForce GTX 965M,,No,1920x1080 pixels,802.11 b/g/n,4.3,416.00 x 318.00 x 20.00,ROG,No,2.6 GHz,Nvidia GeForce GTX 965M,,,Standard,3.5,GDDR5,
Asus,EeeBook E402WA-WH21,https://i.gadgets360cdn.com/products/laptops/large/1546455966_635_asus_eeebook-e402wa-wh21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,14.00-inch,No,Black,Windows 10,64GB,E402WA-WH21,,AMD Radeon R2,,No,1366x768 pixels,802.11 b/g/n,1.65,339.00 x 235.00 x 21.90,EeeBook,No,1.5 GHz,AMD Radeon R2,,,,,,
Asus,S510UA,https://i.gadgets360cdn.com/products/laptops/large/1546456913_635_asus_s510ua.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,256GB,Gold,Windows 10,No,S510UA,Intel Core i7 8th Gen 8550U,Nvidia GeForce MX150,,No,1920x1080 pixels,802.11 ac,1.68,361.00 x 244.00 x 45.72,,No,1.8 GHz,Nvidia GeForce MX150,,,,8,GDDR5,32GB
HP,ProBook X360 11-G1-EE,https://i.gadgets360cdn.com/products/laptops/large/1546453630_635_hp_probook-x360-11-g1-ee.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,11.60-inch,No,Black,Windows 10 Professional,256GB,X360 11-G1-EE,Intel Celeron Dual Core,Intel Integrated HD Graphics,No,No,1366x768 pixels,802.11 a/b/g/n/ac,1.44,,ProBook,Yes,2.4 GHz,Intel Integrated HD Graphics,,No,,11,DDR3L,
Microsoft,Surface Pro DAJ-00021,https://i.gadgets360cdn.com/products/laptops/large/1546455643_635_microsoft_surface-pro-daj-00021.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 174,999",8GB,12.50-inch,256GB,Graphite Gold,Windows 10 Professional,No,DAJ-00021,Intel Core i7 7th Gen 7300U,Intel Integrated HD Graphics 620,No,No,2736x1824 pixels,802.11 a/b/g/n/ac,,292.10 x 200.70 x 8.40,Surface Pro,Yes,2.6 GHz,Intel Integrated HD Graphics 620,"Microsoft Surface DAJ-00021 Laptop (8GB RAM, 256GB HDD, Intel Core i7, Graphite Gold, 12.3 inch)",No,,,,
Asus,L402WA-EH21,https://i.gadgets360cdn.com/products/laptops/large/1546453722_635_asus_l402wa-eh21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 77,460",4GB,14.00-inch,32GB,Black,Windows 10,No,L402WA-EH21,AMD APU Quad Core E2 6110,AMD Radeon R2,,Yes,1366x768 pixels,802.11 a/b/g/n/ac,2.1,236.00 x 338.00 x 23.00,,No,1.5 GHz,AMD Radeon R2,"Asus L402WA-EH21 Laptop (Windows 10, 4GB RAM, 32GB HDD, AMD Black, 14 inch)",,,,,
HP,14-AM122TU,https://i.gadgets360cdn.com/products/laptops/large/1546452951_635_hp_14-am122tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 39,999",4GB,14.00-inch,No,Turbo Silver,Windows 10,1TB,14-AM122TU,Intel Core i5 7200U,,,No,1366x768 pixels,802.11 b/g/n,1.94,242.00 x 34.50 x 23.00,,No,2.5 GHz,,"HP 14-AM122TU Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Turbo Silver, 14 inch)",,Standard,7,,
Microsoft,Surface Pro DAJ-00021,https://i.gadgets360cdn.com/products/laptops/large/1546455643_635_microsoft_surface-pro-daj-00021.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 174,999",8GB,12.50-inch,256GB,Graphite Gold,Windows 10 Professional,No,DAJ-00021,Intel Core i7 7th Gen 7300U,Intel Integrated HD Graphics 620,No,No,2736x1824 pixels,802.11 a/b/g/n/ac,,292.10 x 200.70 x 8.40,Surface Pro,Yes,2.6 GHz,Intel Integrated HD Graphics 620,"Microsoft Surface DAJ-00021 Laptop (8GB RAM, 256GB HDD, Intel Core i7, Graphite Gold, 12.3 inch)",No,,,,
HP,1T8TJG,https://i.gadgets360cdn.com/products/laptops/large/1546456511_635_hp_1t8tjg.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 83,218",12GB,15.60-inch,No,Purple,Windows 10,2TB,1T8TJG,Intel Core i5 8th Gen 8250U,Intel HD Graphics 620,No,No,1366x768 pixels,802.11 ac,1.2,380.00 x 254.00 x 24.00,,,1.6 GHz,Intel HD Graphics 620,"HP 1T8TJG Laptop (Windows 10, 12GB RAM, 2000GB HDD, Intel Core i5, Purple, 15.6 inch)",No,Standard,,DDR4,
Asus,ZenBook Pro UX501JW-DH71T-WX,https://i.gadgets360cdn.com/products/laptops/large/1546456074_635_asus_zenbook-pro-ux501jw-dh71t-wx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,16GB,15.00-inch,512GB,Silver,Windows 10,No,UX501JW-DH71T-WX,Intel Core i7 4th Gen 4720HQ,Nvidia GeForce GTX 960M,,No,3840x2160 pixels,802.11 b/g/n,2.27,52.32 x 255.00 x 38.30,ZenBook Pro,Yes,2.6 GHz,Nvidia GeForce GTX 960M,,,Standard,4.5,GDDR5,
HP,15-AY509TU,https://i.gadgets360cdn.com/products/laptops/large/1546453005_635_hp_15-ay509tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,No,Silver,DOS,1TB,15-AY509TU,Intel Core i3 5th Gen 5005U,Intel Integrated HD Graphics 5500,No,,1366x768 pixels,802.11 b/g/n,2.19,61.72 x 38.43 x 38.43,,,2 GHz,Intel Integrated HD Graphics 5500,,No,,,,
Lenovo,IdeaPad Z50,https://i.gadgets360cdn.com/products/laptops/large/1546456923_635_lenovo_ideapad-z50.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,15.60-inch,No,Black,Windows 10,1TB,Z50,,Intel Integrated HD Graphics 4400,No,No,,,2.4,384.00 x 265.00 x 25.00,IdeaPad,No,1.7 GHz,Intel Integrated HD Graphics 4400,,No,Standard,4,,16GB
Microsoft,Surface Laptop 3 15-inch,https://i.gadgets360cdn.com/products/large/surface-laptop-3-1170x800-1570080832.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 141,500",8GB,15.00-inch,128GB,"Platinum, Matte Black",Windows 10 Home,,,AMD Ryzen 5 3580U,AMD Radeon Vega 9,Yes,,2496x1664 pixels,802.11 a/b/g/n/ac,1.542,244.00 x 339.50 x 14.69,Surface Laptop,Yes,,AMD Radeon Vega 9,"Microsoft Surface 3 Laptop (Windows 10 Home, 8GB RAM, 256GB SSD, AMD Ryzen 5, Platinum, 15.0 Inch)",Yes,,11.5,,
HP,15-BS547TU,https://i.gadgets360cdn.com/products/laptops/large/1546454893_635_hp_15-bs547tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 21,997",4GB,15.60-inch,No,Black,Windows 10,500GB,15-BS547TU,Intel Pentium Dual Core N3710,Integrated Graphics Processor,,No,1366x768 pixels,802.11 b/g/n,2.1,254.00 x 38.00 x 24.00,,No,1.6 GHz,Integrated Graphics Processor,"HP 15-BS547TU Laptop (Windows 10, 4GB RAM, 500GB HDD, Intel Pentium, Jet Black, 15.6 inch)",,Standard,4,,
Asus,ZenBook 3 UX490UA-XS74-BL,https://i.gadgets360cdn.com/products/laptops/large/1546454683_635_asus_zenbook-3-ux490ua-xs74-bl.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 511,536",16GB,14.00-inch,512GB,Blue,Windows 10 Professional,No,UX490UA-XS74-BL,Intel Core i7 7th Gen 7500U,Integrated Graphics Processor,,Yes,,802.11 ac,1.09,213.00 x 33.00 x 33.02,ZenBook 3,,2.7 GHz,Integrated Graphics Processor,"Asus UX490UA-XS74-BL Laptop (Windows 10 Pro, 16GB RAM, 512GB HDD, Intel Core i7, Blue, 14 inch)",,,9,DDR3,
Asus,A555LF-XX407D,https://i.gadgets360cdn.com/products/laptops/large/1546453050_635_asus_a555lf-xx407d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Dark Blue,DOS,1TB,A555LF-XX407D,Intel Core i3 5th Gen 5010U,Nvidia GeForce 930M,,No,,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,2.1 GHz,Nvidia GeForce 930M,,,,3.5,DDR3,
HP,X2 210-G1,https://i.gadgets360cdn.com/products/laptops/large/1546455343_635_hp_x2-210-g1.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,2GB,10.10-inch,No,Grey,Windows 10,32GB,X2 210-G1,Intel Atom Quad Core Z8300,Intel Integrated HD Graphics,No,No,1280x800 pixels,802.11 a/b/g/n/ac,1.139,264.00 x 182.60 x 19.84,,Yes,1.44 GHz,Intel Integrated HD Graphics,,No,Micro,10,,
Asus,VivoBook W202NA-YS03,https://i.gadgets360cdn.com/products/laptops/large/1546456933_635_asus_vivobook-w202na-ys03.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 83,309",4GB,11.60-inch,No,Midnight Blue,Windows 10,64GB,W202NA-YS03,Intel Celeron Dual Core N3350,Intel HD Graphics,No,No,1366x768 pixels,802.11 ac,1.179,294.64 x 200.66 x 22.86,VivoBook,,1.1 GHz,Intel HD Graphics,"Asus Vivobook W202NA-YS03 Laptop (Windows 10, 4GB RAM, 64GB HDD, Intel Celeron, Midnight Blue, 11.6 inch)",No,Standard,,,
AGB,Tiara 1709-A,https://i.gadgets360cdn.com/products/laptops/large/1546454430_635_agb_tiara-1709-a.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 68,999",8GB,15.60-inch,512GB,Silver,Windows 10,No,1709-A,Intel Core i7 7th Gen,Nvidia,,No,1920x1080 pixels,802.11 ac,,,Tiara,No,2.7 GHz,Nvidia,"AGB Tiara 1709-A Laptop (Windows 10, 8GB RAM, 500GB HDD, Intel Core i7, Silver, 15.6 inch)",,,8,DDR5,
AGB,Tiara 2403-R,https://i.gadgets360cdn.com/products/laptops/large/1546454697_635_agb_tiara-2403-r.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 71,999",8GB,15.60-inch,512GB,Silver,Windows 10,No,2403-R,Intel Core i7 7th Gen,Nvidia,,No,1920x1080 pixels,802.11 ac,,,Tiara,No,2.7 GHz,Nvidia,"AGB Tiara 2403-R Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",,,8,DDR5,
Asus,EeeBook AWH21,https://i.gadgets360cdn.com/products/laptops/large/1546457009_635_asus_eeebook-awh21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,14.00-inch,No,Black,Windows 10,64GB,AWH21,,AMD Radeon R2,,No,1366x768 pixels,802.11 b/g/n,1.65,339.00 x 235.00 x 21.90,EeeBook,No,1.5 GHz,AMD Radeon R2,,,,,,
HP,Pavilion X360 CD0087TU,https://i.gadgets360cdn.com/products/laptops/large/1546455896_635_hp_pavilion-x360-cd0087tu.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,8GB,14.00-inch,No,Mineral Silver,Windows 10,1TB,X360 CD0087TU,Intel Core i5,,,No,1920x1080 pixels,802.11 n/ac,,,Pavilion,,1.6 GHz,,,,Standard,8,,12GB
AGB,Orion ZQ0812,https://i.gadgets360cdn.com/products/laptops/large/1546454702_635_agb_orion-zq0812.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 64,499",8GB,14.00-inch,256GB,Silver,Windows 10,No,ZQ0812,Intel Core i7 7th Gen 7500u,Intel Integrated HD Graphics 620,No,No,1920x1080 pixels,802.11 ac,,,Orion,No,2.7 GHz,Intel Integrated HD Graphics 620,"AGB Orion ZQ0812 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver)",No,,8,DDR5,
AGB,Orion ZQ1608,https://i.gadgets360cdn.com/products/laptops/large/1546454698_635_agb_orion-zq1608.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 88,000",8GB,14.00-inch,512GB,Silver,Windows 10,No,ZQ1608,Intel Core i7 7th Gen 7500u,Intel Integrated HD Graphics 620,No,No,1920x1080 pixels,802.11 ac,,,Orion,No,2.7 GHz,Intel Integrated HD Graphics 620,"AGB Orion ZQ1608 Laptop (Windows 10, 8GB RAM, 500GB HDD, Intel Core i7, Silver)",No,,8,DDR5,
Asus,A555LF-XX309T,https://i.gadgets360cdn.com/products/laptops/large/1546455101_635_asus_a555lf-xx309t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Blue,DOS,1TB,A555LF-XX309T,Intel Core i5 5010U,Nvidia GeForce 930M,,No,,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,2.1 GHz,Nvidia GeForce 930M,,,,3.5,DDR3,
AGB,Octev AG1208,https://i.gadgets360cdn.com/products/laptops/large/1546454678_635_agb_octev-ag1208.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 92,999",8GB,15.60-inch,128GB,Silver,Windows 10,No,AG1208,Intel Core i7 7th Gen 7500u,Nvidia,,No,1920x1080 pixels,802.11 ac,,,Octev,No,2.7 GHz,Nvidia,"AGB Octev AG1208 Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i7, Silver, 15.6 inch)",,,8,DDR5,
Dell,13 Y560901IN9,https://i.gadgets360cdn.com/products/laptops/large/1546455534_635_dell_13-y560901in9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 69,990",8GB,13.30-inch,No,Black,Windows 8.1,1TB,13 Y560901IN9,Intel Core i5,,,No,1920x1080 pixels,802.11 ac,2.5,364.00 x 41.40 x 10.10,,No,,,"Dell Alienware 13 Y560901IN9 Laptop (Windows 8.1, 8GB RAM, 1000GB HDD, Intel Core i5, Black, 13 inch)",,Standard,,DDR5,
Lenovo,ThinkPad T580 20L9,https://i.gadgets360cdn.com/products/laptops/large/1546456941_635_lenovo_thinkpad-t580-20l9.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 229,319",16GB,15.60-inch,No,Black,Windows 10 Professional,512GB,T580 20L9,Intel Core i7 8th Gen 8250U,,,No,3840x2160 pixels,802.11 b/g,1.97,365.80 x 252.80 x 19.95,ThinkPad,,1.6 GHz,,"Lenovo Thinkpad T580 20L9 Laptop (Windows 10 Pro, 16GB RAM, 512GB HDD, Intel Core i7, Black, 15.6 inch)",,Standard,,,
Asus,EeeBook E402WA-WH21,https://i.gadgets360cdn.com/products/laptops/large/1546455966_635_asus_eeebook-e402wa-wh21.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,14.00-inch,No,Black,Windows 10,64GB,E402WA-WH21,,AMD Radeon R2,,No,1366x768 pixels,802.11 b/g/n,1.65,339.00 x 235.00 x 21.90,EeeBook,No,1.5 GHz,AMD Radeon R2,,,,,,
Asus,ZenBook S,https://i.gadgets360cdn.com/products/large/Asus-ZenBook-s-DB-710x800-1598958177.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,16GB,13.90-inch,,Jade Black,Windows 10,1TB,UX393,Intel Core i7 10th Gen i7-1065G7,,No,,3300x2200 pixels,802.11 ac,1.35,224.00 x 306.00 x 15.70,ZenBook,Yes,,,,No,Yes,,,
Asus,A555LF-XX263D,https://i.gadgets360cdn.com/products/laptops/large/1546455130_635_asus_a555lf-xx263d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Blue,DOS,1TB,A555LF-XX263D,Intel Core i3 5010U,Nvidia GeForce 930M,,No,,802.11 b/g/n,2.3,382.00 x 256.00 x 25.80,,No,2.1 GHz,Nvidia GeForce 930M,,,,3.5,DDR3,
Asus,X507MA-BR059T,https://i.gadgets360cdn.com/products/laptops/large/1546455975_635_asus_x507ma-br059t.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,,4GB,15.60-inch,No,Grey,Windows 10,1TB,X507MA-BR059T,Intel Pentium Dual Core N5000,,,No,1366x768 pixels,802.11 b/g/n,1.75,365.00 x 266.00 x 21.90,,No,1.1 GHz,,,,,,,8GB
AGB,Orion ZQ1608,https://i.gadgets360cdn.com/products/laptops/large/1546454698_635_agb_orion-zq1608.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,"₹ 88,000",8GB,14.00-inch,512GB,Silver,Windows 10,No,ZQ1608,Intel Core i7 7th Gen 7500u,Intel Integrated HD Graphics 620,No,No,1920x1080 pixels,802.11 ac,,,Orion,No,2.7 GHz,Intel Integrated HD Graphics 620,"AGB Orion ZQ1608 Laptop (Windows 10, 8GB RAM, 500GB HDD, Intel Core i7, Silver)",No,,8,DDR5,
