Product,Image,Brand,Processor,RAM,Hard disk,SSD,Graphic card,Operating system,Resolution,Dimensions(mm),Weight(kg),Battery life,Price
"HP 15-AY507TX Laptop (Windows 10, 8GB RAM, 1000GB HDD, Intel Core i5, Silver, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525206312_635_15-ay507tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i5 6th Gen 6200U,8GB,1TB,No,AMD Radeon R5 M430,Windows 10 Home,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,9.0,"₹ 47,500"
"Asus R558UF-DM176D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Red, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525206020_635_r558uf-dm176d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 6th Gen 6200U,4GB,1TB,No,Nvidia GeForce 930M,Windows 10 Home,1920x1080 pixels,382.00 x 258.00 x 25.50,2.3,6.0,"₹ 40,900"
"Acer Aspire E E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207602_635_aspire-e-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7th Gen 7200U,4GB,1TB,No,Intel HD Graphics 520,Windows 10 Home,1366x768 pixels,381.60 x 259.00 x 30.20,2.2,5.0,"₹ 26,980"
"HP Pavilion 15-AC121TX Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i3, White)",https://i.gadgets360cdn.com/products/laptops/large/1525204274_635_pavilion-15-ac121tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i3 5th Gen 5020U,4GB,1TB,No,AMD Radeon R5 M330,Windows 10 Home,1366x768 pixels,384.30 x 254.60 x 24.30,2.19,4.0,"₹ 38,900"
"Asus X540SA-XX311D Laptop (DOS, 4GB RAM, 500GB HDD, Intel Celeron, Gold, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525205943_635_x540sa-xx311d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Celeron Dual Core 6th Gen N3060,4GB,500GB,No,Intel Integrated Graphics,DOS,1366x768 pixels,381.00 x 252.00 x 25.40,2.0,4.5,"₹ 19,999"
"Acer Aspire E5-575 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207596_635_aspire-e5-575.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Acer,Intel Core i5 7th Gen 7200U,4GB,1TB,No,Intel HD Graphics 620,Linux,1366x768 pixels,381.60 x 259.00 x 30.20,2.2,5.0,"₹ 40,999"
"Lenovo Z51 70 Laptop (Windows 10, 4GB RAM, 1000GB HDD, Intel Core i5, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525204431_635_z51-70.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i5 5th Gen 5200U,8GB,1TB,No,AMD Radeon Tropo XT2,Windows 10 Home,1920x1080 pixels,384.00 x 265.00 x 24.60,2.3,4.0,"₹ 55,000"
"Lenovo Y50 70 Laptop (Windows 8.1, 16GB RAM, 1000GB HDD, Intel Core i7, Black, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525202383_635_y50-70.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Lenovo,Intel Core i7 4th Gen 4710HQ,8GB,1TB,No,Nvidia GeForce GTX 860M,Windows 8.1,1920x1080 pixels,387.00 x 263.40 x 23.90,2.4,5.0,"₹ 59,990"
"Asus R558UQ-DM513D Laptop (DOS, 4GB RAM, 1000GB HDD, Intel Core i5, Dark Blue, 15.6 inch)",https://i.gadgets360cdn.com/products/laptops/large/1525207640_635_r558uq-dm513d.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,Asus,Intel Core i5 7th Gen 7200U,8GB,1TB,No,Nvidia GeForce 940MX,DOS,1920x1080 pixels,382.00 x 256.00 x 25.50,2.3,4.5,"₹ 41,990"
"HP Envy AE008TX Laptop (Windows 8, 16GB RAM, 2000GB HDD, Intel Core i7, Silver)",https://i.gadgets360cdn.com/products/laptops/large/1525204258_635_envy-15-ae008tx.jpg?downsize=*:180&amp;output-quality=80&amp;output-format=webp,HP,Intel Core i7 5th Gen 5500U,16GB,2TB,No,Nvidia GeForce GTX 950M,Windows 8 Professional,1920x1080 pixels,384.00 x 255.00 x 23.70,2.38,4.5,"₹ 89,850"
